Bambi,강동화,,Popping,https://www.instagram.com/bambi_popping/
Taevong,김태원,,Popping,https://www.instagram.com/tae.vong_vb/
LUCAS,서종한,Color,Hiphop,https://www.instagram.com/how_about_lucas/
Red burn,정하용,Wild crew,B-boy,https://www.instagram.com/wild_redburn/
Eagle,이상진,,B-boy,https://www.instagram.com/eagleone_bboykr/
Bigshot,조민근,,B-boy,https://www.instagram.com/bigshot._9
Quiiidy,조민규,,Waacking,https://www.instagram.com/be.uniquequiiidy/
Skim,김헌준,JINJO,B-boy,https://www.instagram.com/jinjoskim
BUTA,부타,,Locking,https://www.instagram.com/buuuta__day
Chuc,이해동,,Locking,https://www.instagram.com/chuc_day/
Mario,이병준,Artistreet,B-boy,https://www.instagram.com/supa_soul_m/
Double.d,조동휘,,Hiphop,https://www.instagram.com/double.d_kr/
JULU,홍준우,Macrocube,Hiphop,https://www.instagram.com/juluzld/
Luna yuna,유나,Cosmic D-flo,Locking,https://www.instagram.com/luna.yuna/
Kwanwoo,송관우,,Waacking,https://www.instagram.com/dancer_kwan_woo/
JYO,이병조,Unlimited,House,https://www.instagram.com/jyo__ulmtd/
Meadow,이초원,BREAKPOINTS,B-boy,https://www.instagram.com/bboymeadow
Onekick,주한익,,Popping,https://www.instagram.com/oxonekick/
Maximus,양성준,,Waacking,https://www.instagram.com/maxi._mus._/
Bong,봉지훈,"ODDFAM, T.I.B CREW",Hiphop,https://www.instagram.com/_b0ng/
Piggy,김성윤,,Popping,https://www.instagram.com/pigggy___/
Volly,박상범,,Krump,https://www.instagram.com/volly____/
Swallow,정수범,SOULBURNZ,B-boy,https://www.instagram.com/bboy_swallow_03
Crasher,정상영,Wild crew,B-boy,https://www.instagram.com/wild_crasher_/
Whale,이우명,Artistreet,B-boy,https://www.instagram.com/real_whale
Neal,Neal,,Locking,https://www.instagram.com/lockingneal/
Soonbin,순빈,Oriental heroez,Popping,https://www.instagram.com/soonbinyejun/
Heavy Lock,배혜지,,Locking,https://www.instagram.com/heavyy_lock/
HAEJUN,해준,,Waacking,https://www.instagram.com/haejunchoice/
Seungbin,한승빈,,Waacking,https://www.instagram.com/seungbin.kr/
김예림,김예림,,House,https://www.instagram.com/xdpfla/
Deegun,이동건,,Hiphop,https://www.instagram.com/deegun_seoul/
MOOK,이정묵,,Locking,https://www.instagram.com/mo0k10ck/
DRY D,박건용,Fusionmc,B-boy,https://www.instagram.com/dryd.fmc
Samson,이동규,Platon crew,B-boy,https://www.instagram.com/samsonplt/
이현준,이현준,,Hiphop,https://www.instagram.com/kuno_kr/
이나은,이나은,,Waacking,https://www.instagram.com/n___eunni/
Yell,김예리,Gamblerz crew,B-girl,https://www.instagram.com/yell_yeri_kim
Minchan,송민찬,,B-boy,https://www.instagram.com/bboy_minchan
Who Mean,송종훈,"MUSU, ODDFAM",Hiphop,https://www.instagram.com/whomeann/
Jaygee,제이지,WORLD FAME US,Popping,https://www.instagram.com/jaygee_____/
GOG,이규진,Gamblerz crew,B-boy,https://www.instagram.com/gog_lee
Moolock,정무진,,Locking,https://www.instagram.com/_moolock/
Riha,리하,Neo.type,Popping,https://www.instagram.com/riha_rtist/
Wizzard,위자드,빛고을댄서스,Waacking,https://www.instagram.com/prince_wizzard_/?g=5
정여린,정여린,,Popping,https://www.instagram.com/sb_yeorin/
Matthew,위성재,,Krump,https://www.instagram.com/ps_matthew/tagged/
Keypo,김지빈,,Locking,https://www.instagram.com/key_po______/
Taemin,정태민,,Waacking,https://www.instagram.com/taemin_2way/
Dabong,정다혜,LOCK N LOL,Locking,https://www.instagram.com/lipfunk_dabong/
Soar,진채완,Break ambition,B-boy,https://www.instagram.com/soar.ed_jin
Comet,코멧,Break ambition,B-boy,https://www.instagram.com/comet_lll
Juuzou,전은혁,fanzed crew,B-boy,https://www.instagram.com/juuzounder/
Fresh,신선,빛고을댄서스,Hiphop,https://www.instagram.com/fresh_bitgoeul/
Mr.Keem,김재연,Unique flow,"Locking, Popping",https://www.instagram.com/mr.keem__/
Neoh,정권수,cracker,House,https://www.instagram.com/neoh_._/
Sukist,서키스트,Eeight,B-boy,https://www.instagram.com/bboysukist/
Lockbong,락봉,,Locking,https://www.instagram.com/lockbong_day
Amber,정민진,,Hiphop,https://www.instagram.com/amber_mnjn/
Simmon,김수현,Frenchfriez,Locking,https://www.instagram.com/simmon__03
Mew,뮤,Frenchfriez,Locking,https://www.instagram.com/mew_steez/
Rodeng,로뎅,Specialll crew,Locking,https://www.instagram.com/fsp_rodeng/
Noice,전상현,MB crew,B-boy,https://www.instagram.com/noice.mbcr
Mac,최재혁,Brother green,B-boy,https://www.instagram.com/mac7_seven/
이예담,이예담,,Popping,https://www.instagram.com/ye.dannce/
Jaesang,박재상,overaize,House,https://www.instagram.com/jaesang.orz/
